English,繁中,简中,Deutsch,Русский,Français,日本語,한국어,Español,Português,العربية,українська
Arial,微軟正黑體,SimSun,Arial,Arial Narrow,Arial,微軟正黑體,Dotum,Arial,Arial,Arial Unicode MS,Myriad Pro
12,12,11,12,11,12,12,12,12,12,12,12
Turn Off,,,,,,,,,,,
Main Menu,,,,,,,,,,,
Exit,退出,退出,Verlassen,Выход,Quitter,出る,나가기,Salir,Saída,خروج,Вихід
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Style 1,樣式1,样式1,Stil 1,Стиль 1,Style 1,スタイル 1,스타일1,Estilo 1,Estilo 1,أسلوب 1,Стиль 1
Style 2,樣式2,样式2,Stil 2,Стиль 2,Style 2,スタイル 2,스타일2,Estilo 2,Estilo 2,أسلوب 2,Стиль 2
Style 3,樣式3,样式3,Stil 3,Стиль 3,Style 3,スタイル 3,스타일3,Estilo 3,Estilo 3,أسلوب 3,Стиль 3
Style 4,樣式4,样式4,Stil 4,Стиль 4,Style 4,スタイル 4,스타일4,Estilo 4,Estilo 4,أسلوب 4,Стиль 4
GameAssist,遊戲輔助工具,游戏辅助工具,Spielassistent,Игровой ассистент,Assistance en jeu,ゲームアシスト,게임보조기능,Asistente de juego,GameAssist,أدوات مساعدة للألعاب,Ігровий помічник
GAME INFO,GAME情報,GAME情报,GAME Info,Информация GAME,Infos GAME,GAME情報,GAME 정보,Información GAME,Informações GAME,GAME معلومات ,Ігрова інформація
Game Timer,,,,,,,,,,,
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Count Up,正數計時,正数计时,Hochzählen,Прямой счет,Compter,カウントアップ,카운트 업,Cuenta progresiva,Crescente,عد تصاعدى,Прямий рахунок
Count Down,倒數計時,倒数计时,Runterzählen,Обратный счет,Compter à rebours,カウントダウン,카운트 다운,Cuenta regresiva,Decrescente,عد تنازلى,Зворотнiй рахунок
Refresh Rate,更新頻率,更新频率,Refresh Rate,Refresh Rate,Refresh Rate,リフレッシュレート,리프레쉬 비율,Tasa de refresco,Refresh Rate,معدل التحديث,Refresh Rate
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Info Location,情報位置,情报位置,Info-Position,Info Location,Position info,情報位置,정보 위치,Info Location,Info Location,موقع عرض المعلومات,Info Location
Horizontal 左、右,,,,,,,,,,,
Vertical 上、中、下,,,,,,,,,,,
Display Alignment,螢幕拼接輔助,屏幕拼接辅助,Display-Ausrichtung,Выравнивание экрана,Alignement affichage,ディスプレイ調整,디스플레이 정렬,Alineación de visualización,Alinhamento do ecrã,محاذاة الشاشة,Вирiвнювання екрану
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Settings,,,,,,,,,,,
Gaming,遊戲模式,游戏模式,Gaming,Игра,Jeu,ゲーミング,게임,Juego,Jogos,الألعاب,Гра
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Display Mode,顯示模式,显示模式,Display Modus,Режим дисплея,Mode d'affichage,ディスプレイ・モード,디스플레이,Modo visualización,Modo de exibição,وضع العرض,Режим дисплею
Full,全螢幕,全屏幕,Voll,Полноэкранный,Plein,フル,전체화면,Pantalla completa,Total,ملء الشاشة,Повноекранний
Aspect,原比例,原比例,Aspekt,Соотношение сторон,Aspect,アスペクト比,화면 비율,Aspecto,Proporção,نسبة العرض للارتفاع ,Співвідношення сторін
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
FreeSync Premium,,,,,,,,,,,
Enable,開啟,开启,Aktivieren,Активировать,Activer,有効にする,Enable,Habilitar,Habilitar,تفعيل,Увімкнути
Disable,關閉,关闭,Deaktivieren,Отключить,Désactiver,無効にする,Disable,Desactivar,Desabilitar,تعطيل,Вимкнути
Picture,圖像功能,图像功能,Bild,Графика,Image,画像,사진,Imagen,Imagem,الصورة,Зображення
Standard,預設模式,预设模式,Standard,Стандартный,Standard,スタンダード,표준,Modo estándar,Padrão,قياسى,Стандартний
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Еквалазер чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Game,遊戲模式,游戏模式,Game,Игра,Jeu,ゲーム,게임,Juego,Jogos,الألعاب,Game
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Еквалайзер чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Movie,電影模式,电影模式,Film,Фильмы,Film,映画,영화,Modo cine,Filme,أفلام,Фільми
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ. ,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ. ,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Reader,閱讀模式,阅读模式,Lesegerät,Чтение,Lecture,リーダー,읽기,Modo lector,Leitura,قراءة,Читання
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
